Song,Artist,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Cluster
Dip It Low,Christina Milian,0.752,0.722,11,-4.207,0,0.104,0.0108,0.000536,0.0753,0.612,169.131,1
Dance with Me,Debelah Morgan,0.85,0.674,7,-7.981,0,0.0373,0.309,0.000645,0.0356,0.74,115.005,1
Breathe Easy,Blue,0.297,0.72,7,-5.432,1,0.0418,0.043,0.0,0.118,0.279,159.939,3
Born to Try,Delta Goodrem,0.542,0.589,8,-6.813,1,0.0284,0.246,0.0,0.188,0.336,133.838,3
Rockferry,Duffy,0.424,0.885,7,-3.654,1,0.0332,0.0226,0.016,0.235,0.378,88.006,0
Don't Let Me Be the Last to Know,Britney Spears,0.632,0.756,4,-6.567,1,0.0417,0.159,0.0,0.273,0.713,138.96,7
Pack Up,Eliza Doolittle,0.672,0.809,11,-5.704,1,0.0595,0.325,0.0,0.336,0.88,133.036,7
Lights - Single Version,Ellie Goulding,0.682,0.795,8,-6.17,0,0.0367,0.0297,0.0391,0.131,0.78,120.008,1
I Want Love,Elton John,0.444,0.697,9,-5.549,1,0.0281,0.0659,6.09e-05,0.37,0.36,142.971,3
The Voice Within,Christina Aguilera,0.484,0.439,2,-5.995,1,0.0336,0.556,0.0,0.251,0.157,69.945,0
What Took You So Long?,Emma Bunton,0.668,0.772,9,-5.4,0,0.0307,0.123,0.0,0.341,0.911,118.011,1
Love To See You Cry,Enrique Iglesias,0.743,0.796,10,-5.868,0,0.0349,0.134,0.00218,0.0963,0.675,122.991,1
Only Time,Enya,0.418,0.249,3,-13.744,1,0.0301,0.841,0.661,0.112,0.213,82.803,4
Lost Without You,Delta Goodrem,0.581,0.747,7,-6.682,1,0.0283,0.0365,1.69e-06,0.193,0.514,146.301,3
Stepping Stone,Duffy,0.694,0.523,2,-6.407,0,0.0254,0.875,0.000172,0.352,0.472,97.985,2
Mushaboom,Feist,0.729,0.531,8,-8.707,1,0.0322,0.268,0.00165,0.0671,0.83,88.753,5
Clumsy,Fergie,0.731,0.563,2,-4.046,1,0.131,0.191,0.00042,0.296,0.452,184.009,7
We Will Rock You - Radio Edit,Five,0.552,0.857,4,-6.108,0,0.201,0.0179,0.0,0.211,0.414,179.909,3
Sugar (feat. Wynter),Flo Rida,0.738,0.868,1,-4.15,1,0.0348,0.0371,0.0,0.294,0.199,130.003,7
F.U.R.B. (F U Right Back),Frankee,0.788,0.635,8,-2.922,1,0.135,0.0993,9.9e-06,0.292,0.601,141.019,7
Take My Breath Away,Emma Bunton,0.653,0.76,7,-4.709,1,0.0315,0.261,1.16e-05,0.0705,0.61,91.987,5
Takin' Back My Love,Enrique Iglesias,0.739,0.75,6,-4.778,0,0.0339,0.0137,9.54e-06,0.158,0.431,124.958,1
Sweet About Me,Gabriella Cilmi,0.671,0.701,6,-5.035,1,0.0288,0.0607,2.7e-06,0.163,0.585,131.977,5
Sunshine,Gabrielle,0.682,0.629,9,-5.815,1,0.0233,0.0409,0.0,0.0627,0.612,93.488,5
I'm Scared,Duffy,0.514,0.435,9,-7.772,1,0.0288,0.429,2.18e-05,0.152,0.408,90.078,0
Mi chico latino,Geri Halliwell,0.631,0.913,0,-6.076,0,0.133,0.491,0.0,0.379,0.684,102.011,7
Biology,Girls Aloud,0.542,0.959,2,-2.882,1,0.0548,0.0326,4.53e-05,0.114,0.713,145.667,5
Let's Dance - Radio Edit,Five,0.631,0.821,4,-7.852,0,0.0868,0.00868,0.000287,0.293,0.537,118.003,1
Smiley Faces,Gnarls Barkley,0.558,0.884,10,-2.647,0,0.0376,0.00924,0.0,0.33,0.622,86.985,1
Cool,Gwen Stefani,0.709,0.721,2,-3.52,1,0.0281,0.0322,0.000309,0.355,0.801,112.019,7
What I Am,Emma Bunton,0.684,0.848,7,-3.496,1,0.0388,0.291,0.106,0.0882,0.831,89.016,5
Clothes Off!!,Gym Class Heroes,0.761,0.69,11,-5.56,1,0.11,0.0225,0.0,0.34,0.742,114.987,7
Sanctuary,Gabriella Cilmi,0.639,0.731,8,-5.634,1,0.0251,0.0779,0.0,0.219,0.546,98.037,5
When A Woman,Gabrielle,0.491,0.729,2,-6.242,1,0.0413,0.249,5.73e-06,0.079,0.882,73.755,5
Rain On Your Parade,Duffy,0.479,0.749,4,-3.478,0,0.0461,0.0338,1.46e-06,0.471,0.241,139.675,7
Fly,Hilary Duff,0.292,0.805,4,-3.573,0,0.0444,0.0328,0.0173,0.0817,0.361,184.284,3
Walk This Way,Girls Aloud,0.703,0.736,1,-7.497,1,0.106,0.000687,0.0,0.066,0.774,109.98,5
Kiss Kiss,Holly Valance,0.705,0.717,4,-4.944,0,0.125,0.00369,0.461,0.0701,0.554,97.036,4
1973,James Blunt,0.72,0.668,9,-7.928,1,0.0269,0.0652,0.00664,0.0789,0.768,123.007,5
Wind It Up,Gwen Stefani,0.961,0.9,8,-6.874,1,0.0678,0.309,0.000199,0.354,0.95,120.006,7
Please Don't Stop The Rain,James Morrison,0.5,0.819,0,-4.548,1,0.0729,0.0607,0.0,0.0709,0.679,160.125,3
Seven Days in Sunny June,Jamiroquai,0.707,0.797,7,-7.143,1,0.0435,0.2,0.0,0.302,0.633,105.395,7
The Remedy (I Won't Worry),Jason Mraz,0.589,0.867,10,-4.523,1,0.0385,0.04,0.0,0.306,0.795,94.519,7
They,Jem,0.728,0.817,5,-5.61,1,0.0413,0.0237,2.23e-05,0.115,0.729,129.978,5
Do It Well,Jennifer Lopez,0.763,0.81,5,-5.118,0,0.0861,0.0311,0.0,0.316,0.437,108.004,1
Someone's Watching Over Me,Hilary Duff,0.475,0.716,4,-4.608,1,0.0324,0.119,1.92e-05,0.11,0.432,151.996,3
The Promise,Girls Aloud,0.582,0.898,9,-4.604,1,0.0568,0.00212,0.0,0.234,0.803,90.05,5
Stranded,Jennifer Paige,0.427,0.89,1,-3.628,1,0.0446,0.0334,0.0,0.272,0.303,91.929,0
Same Mistake,James Blunt,0.46,0.509,10,-7.666,1,0.0263,0.466,0.000434,0.122,0.194,77.613,0
How Do You Sleep? - Radio Edit Remix,Jesse McCartney,0.747,0.878,8,-3.533,1,0.0282,0.343,0.0,0.0872,0.557,106.004,5
Wonderful World,James Morrison,0.474,0.71,1,-4.606,1,0.029,0.0548,0.0,0.0974,0.591,78.969,0
These Boots Are Made for Walkin',Jessica Simpson,0.782,0.78,11,-9.293,1,0.144,0.0104,0.000464,0.209,0.745,91.983,5
Lucky,Jason Mraz,0.623,0.417,0,-8.699,1,0.0354,0.296,0.0,0.135,0.721,130.032,5
Intuition,Jewel,0.718,0.798,7,-4.309,1,0.0584,0.00447,0.00629,0.064,0.816,100.031,5
Baby I Love U!,Jennifer Lopez,0.832,0.683,2,-6.335,1,0.0449,0.0144,0.155,0.0578,0.37,111.978,5
So Yesterday,Hilary Duff,0.552,0.802,0,-3.799,1,0.0615,0.215,0.0,0.275,0.776,78.21,7
No Good Advice,Girls Aloud,0.593,0.849,5,-4.965,0,0.0441,7.84e-05,4.37e-06,0.0403,0.889,148.017,1
The Climb,Joe McElderry,0.35,0.547,10,-5.399,1,0.0306,0.611,0.0,0.169,0.322,79.427,0
Carry You Home,James Blunt,0.582,0.507,2,-9.021,1,0.0313,0.671,1.21e-06,0.136,0.217,83.019,2
Clarity,John Mayer,0.666,0.713,2,-3.551,1,0.0384,0.172,0.032,0.177,0.491,94.71,5
"Too Little, Too Late",JoJo,0.538,0.801,6,-5.253,0,0.0435,0.0095,8.67e-06,0.106,0.721,83.002,1
Lovebug,Jonas Brothers,0.597,0.499,4,-6.216,1,0.0581,0.126,0.0,0.214,0.521,79.071,0
Battlefield,Jordin Sparks,0.613,0.634,2,-3.472,1,0.0339,0.0178,0.0,0.0639,0.37,144.953,3
I'd Rather Be With You [Radio Edit],Joshua Radin,0.512,0.671,1,-7.738,1,0.0283,0.0314,0.161,0.0749,0.397,82.342,0
Right To Be Wrong,Joss Stone,0.595,0.607,2,-6.445,1,0.0373,0.204,0.0,0.0847,0.337,148.15,3
Come Clean,Hilary Duff,0.577,0.892,8,-5.121,0,0.0675,0.016,6.39e-05,0.299,0.454,118.096,1
Life Got Cold - Radio Version,Girls Aloud,0.631,0.66,2,-6.849,0,0.0275,0.0296,2.02e-05,0.424,0.517,89.013,7
Thinking Of You,Katy Perry,0.431,0.803,4,-4.459,1,0.0364,0.00167,0.0,0.331,0.309,147.048,3
High,James Blunt,0.541,0.602,10,-6.033,1,0.0257,0.259,1.37e-06,0.125,0.446,81.32,0
Lil Star,Kelis,0.85,0.707,9,-6.18,1,0.0423,0.102,1.57e-06,0.337,0.625,119.994,7
Already Gone,Kelly Clarkson,0.209,0.872,9,-2.996,1,0.0757,0.217,0.0,0.0768,0.294,78.139,0
Changes,Kelly Osbourne,0.214,0.147,0,-13.876,1,0.0291,0.837,2.28e-05,0.13,0.114,81.844,2
Tattoo,Jordin Sparks,0.566,0.766,2,-5.036,1,0.0399,0.431,0.0,0.101,0.547,168.005,3
With Every Heartbeat,Kleerup,0.499,0.874,4,-4.001,0,0.0397,0.00965,0.00028,0.238,0.377,120.872,1
Super Duper Love,Joss Stone,0.69,0.767,11,-3.411,0,0.14,0.0207,0.0,0.131,0.668,187.993,1
Why Not,Hilary Duff,0.49,0.843,4,-4.849,1,0.0478,0.0706,0.0,0.104,0.564,112.85,5
Call The Shots,Girls Aloud,0.638,0.735,11,-5.414,0,0.0306,0.00359,0.000181,0.174,0.819,125.076,1
Goodbye,Kristinia DeBarge,0.777,0.82,1,-3.211,0,0.0471,0.00505,2.6e-05,0.142,0.651,119.987,1
Suddenly I See,KT Tunstall,0.587,0.767,0,-5.713,1,0.0449,0.225,0.0,0.112,0.664,100.38,5
Suddenly I See,KT Tunstall,0.587,0.767,0,-5.713,1,0.0449,0.225,0.0,0.112,0.664,100.38,5
Suddenly I See,KT Tunstall,0.587,0.767,0,-5.713,1,0.0449,0.225,0.0,0.112,0.664,100.38,5
Suddenly I See,KT Tunstall,0.587,0.767,0,-5.713,1,0.0449,0.225,0.0,0.112,0.664,100.38,5
Slow,Kylie Minogue,0.772,0.845,6,-8.082,1,0.0468,0.0133,0.166,0.139,0.573,114.997,5
You And I,Lady Gaga,0.521,0.701,2,-5.238,1,0.0458,0.0892,0.0,0.0876,0.518,127.087,5
Life Goes On,LeAnn Rimes,0.558,0.851,2,-4.561,1,0.106,0.174,0.0,0.553,0.85,191.964,7
One Step At a Time,Jordin Sparks,0.766,0.692,1,-4.672,1,0.0289,0.0825,0.0,0.0384,0.691,102.028,5
Happy,Leona Lewis,0.492,0.641,0,-5.296,1,0.0448,0.459,0.0,0.0809,0.235,76.07,0
Got To Have Your Love,Liberty X,0.678,0.782,1,-5.885,1,0.043,0.0047,1.23e-06,0.0568,0.841,106.692,5
LDN,Lily Allen,0.675,0.631,5,-7.56,1,0.0261,0.0147,4.39e-06,0.379,0.917,100.027,7
8-3-1 - Remastered,Lisa Stansfield,0.716,0.726,11,-5.384,0,0.0352,0.0119,0.0,0.0672,0.609,115.999,1
Remedy,Little Boots,0.586,0.804,6,-2.998,0,0.0475,0.0332,0.0,0.242,0.81,128.963,1
Stuck in the Middle with You,Louise,0.803,0.838,9,-4.715,1,0.0457,0.394,3.49e-05,0.146,0.849,126.286,5
Love at First Sight,Kylie Minogue,0.603,0.774,3,-6.066,0,0.0428,0.0288,0.051,0.0533,0.48,124.994,1
Don't Say You Love Me,M2M,0.627,0.723,1,-6.241,0,0.0341,0.0141,3.66e-05,0.118,0.596,97.555,1
Sweet Baby (feat. Erykah Badu),Macy Gray,0.487,0.774,11,-5.096,1,0.0487,0.224,0.0,0.145,0.415,80.928,0
American Life,Madonna,0.787,0.583,11,-7.16,0,0.176,0.0438,0.0,0.282,0.706,101.96,1
Forgive Me,Leona Lewis,0.738,0.791,5,-5.346,1,0.0767,0.0105,0.0,0.0225,0.557,120.004,5
Thank God I Found You (feat. Joe & 98°),Mariah Carey,0.348,0.532,10,-5.882,1,0.0331,0.592,0.0,0.106,0.148,129.297,3
Four Minute Warning,Mark Owen,0.601,0.914,0,-3.757,1,0.0358,0.0532,0.0,0.143,0.51,122.018,5
